Table name: /Users/melissajosefina/Desktop/pm_M28.csv
+++++++
 source_id              ra               dec               phot_g_mean_mag    phot_bp_mean_mag    phot_rp_mean_mag   
+++++++
 4077236609104984960    275.939717229    24.8795970945    19.558683          19.221724           18.203516          
 4077245473808241920    276.136274475    24.703979579     16.439556          17.275585           15.500313          
 4077245508167692928    276.122740509    24.7117577864    14.494113          15.498858           13.43337           
 4077245405189632896    276.110883655    24.7222356944    18.036943          18.50589            17.095171          
 4077245405189633152    276.111302396    24.7181430718    18.728302          18.790144           17.617039          
 4077245031489486720    276.17695363     24.7127039671    15.990683          16.765493           14.802128          
 4077238327099730688    276.148090296    24.7873557799    19.046978          19.339218           18.475578          
 4077238326983306112    276.142709181    24.7894218401    17.104088          17.3685             15.841556          
 4077238296977232640    276.134643234    24.7953720814    17.174032          17.460646           16.07512           
 4077244481732672896    276.136783626    24.7579929289    18.731365          19.106749           17.764389          
 4077244683635502720    276.136559817    24.728435254     18.811398          19.06064            17.905329          
 4077244584766695424    276.138443387    24.7392826769    18.529402          18.71161            17.57248           
 4077244717995278080    276.152741689    24.7156104796    18.950285          18.424084           17.419231          
 4077244825330970880    276.182639025    24.7325893382    17.990307          18.35922            16.886503          
 4077244408775734400    276.156691093    24.7471287395    18.39414           18.593792           17.431656          
 4077244821045291136    276.181741772    24.7315329345    15.549407          16.331303           14.67228           
 4077244202617345664    276.155983542    24.7745608216    18.827902          18.634844           17.879906          
 4077244241169237888    276.163216914    24.771615767     19.008232          18.189894           17.679022          
 4077244305696625280    276.15168588     24.7602054036    18.257814          18.502481           17.023487          
 4077244202615000064    276.153377061    24.781895406     18.885172          19.22016            18.146238          
 4077239495213322880    276.091077343    24.7365981645    16.86167           17.424025           15.876044          
 4077239460972850688    276.079964216    24.750155451     19.130833          19.347643           18.00971           
 4077238601893217408    276.124310577    24.7655953584    18.98567           19.278252           18.065323          
 4077244481732672384    276.128635701    24.7659521928    18.467144          18.601404           17.434             
 4077238361459043072    276.120577488    24.7967667672    18.13179           18.314129           16.90459           
 4077238361459110144    276.122452141    24.792834916     18.660122          18.66244            17.552088          
 4077238601979651072    276.117364859    24.7753938517    17.599272          17.503641           16.909428          
