u,g,r,i,z,class
18.7791,16.89827,16.043029999999998,15.61045,15.284289999999999,GALAXY
19.180629999999997,17.78895,17.1473,16.81193,16.59147,GALAXY
19.0937,17.01645,16.03586,15.61104,15.25451,GALAXY
19.55516,18.31701,17.74469,17.46793,17.27567,GALAXY
19.486279999999997,19.122729999999997,18.62557,18.263460000000002,18.18504,QSO
18.02978,16.7691,16.09368,15.7428,15.47206,GALAXY
19.43796,17.66516,17.12465,16.7956,16.61009,GALAXY
19.4294,17.74756,16.89365,16.450979999999998,16.20591,GALAXY
18.64803,16.5854,15.524239999999999,15.073979999999999,14.65705,GALAXY
19.3716,17.720579999999998,16.94228,16.51762,16.168689999999998,GALAXY
18.91129,17.10849,16.17549,15.68769,15.300139999999999,GALAXY
18.768539999999998,17.14161,16.30025,15.8593,15.504489999999999,GALAXY
18.09029,16.69262,16.135360000000002,15.85922,15.64833,GALAXY
19.22265,18.170279999999998,17.79532,17.53441,17.45344,GALAXY
18.66479,17.333070000000003,16.570339999999998,16.11176,15.8189,GALAXY
18.753510000000002,16.932660000000002,16.06235,15.62801,15.29512,GALAXY
18.44214,17.08504,16.5176,16.178320000000003,15.94866,GALAXY
18.451970000000003,18.24435,17.94294,17.76114,17.65912,QSO
17.9854,16.80633,16.324379999999998,16.08502,15.96566,GALAXY
18.219820000000002,18.09218,18.01437,17.914479999999998,17.5024,QSO
18.919529999999998,17.83411,17.442339999999998,17.11167,16.96922,GALAXY
19.50146,17.51725,16.23447,15.674479999999999,15.33852,GALAXY
18.91692,16.93604,15.83266,15.37132,14.972620000000001,GALAXY
16.81028,14.92944,14.05941,13.597829999999998,13.276720000000001,GALAXY
18.51568,17.25911,16.74478,16.491989999999998,16.45617,GALAXY
19.59945,18.26163,17.749579999999998,17.45231,17.271810000000002,GALAXY
19.59195,19.05176,18.68828,18.43376,18.48508,GALAXY
18.561120000000003,16.702289999999998,15.80085,15.350810000000001,15.075270000000002,GALAXY
18.6844,16.643629999999998,15.72112,15.27333,14.941939999999999,GALAXY
18.91231,17.06685,16.20095,15.77191,15.42955,GALAXY
18.60163,17.50023,16.98307,16.68819,16.47457,GALAXY
19.14153,17.668689999999998,16.87641,16.447670000000002,16.15827,GALAXY
18.242060000000002,16.39765,15.53025,15.14265,14.85036,GALAXY
18.62621,17.58757,17.17063,16.8858,16.726470000000003,GALAXY
19.06394,17.183629999999997,16.28974,15.857439999999999,15.5323,GALAXY
19.3048,17.5711,16.72036,16.26595,15.953679999999999,GALAXY
18.10512,16.22961,15.3665,14.940779999999998,14.626920000000002,GALAXY
19.48165,18.18638,17.53192,17.14986,16.90466,GALAXY
19.38072,17.38953,16.26663,15.75659,15.369629999999999,GALAXY
19.47674,17.95767,17.43525,17.134970000000003,17.04401,GALAXY
19.20257,18.900660000000002,18.7014,18.562,18.363789999999998,QSO
19.43869,17.69814,16.80477,16.33553,15.97758,GALAXY
18.45198,17.12134,16.48526,16.06147,15.813429999999999,GALAXY
19.20787,18.23195,17.91893,17.68966,17.558220000000002,GALAXY
18.68553,16.71797,15.824010000000001,15.40003,15.05685,GALAXY
18.74191,16.78006,15.84591,15.39206,15.0474,GALAXY
19.29261,18.08631,17.49861,17.13456,16.96773,GALAXY
18.6754,18.47511,18.34468,18.04713,18.15438,QSO
19.230339999999998,17.54165,17.148229999999998,16.52709,16.378529999999998,GALAXY
19.16704,17.96421,17.612479999999998,17.36727,17.23761,GALAXY
17.552989999999998,16.52344,16.07285,15.81848,15.67118,GALAXY
18.72266,17.24994,16.46835,16.060760000000002,15.74952,GALAXY
18.9252,17.10654,16.268320000000003,15.86064,15.55405,GALAXY
18.10373,16.99308,16.38654,16.00328,15.770660000000001,GALAXY
18.63703,18.33043,18.14837,18.11554,18.00972,QSO
18.865560000000002,17.83413,17.423379999999998,17.02463,16.89546,GALAXY
18.49081,18.27954,18.169729999999998,17.984820000000003,18.14811,QSO
19.16442,17.97469,17.56719,17.22249,17.08448,GALAXY
19.464029999999998,18.14614,17.376379999999997,16.94839,16.72287,GALAXY
19.599220000000003,18.31711,17.66297,17.27599,16.9995,GALAXY
18.94086,16.823710000000002,15.803579999999998,15.30949,14.95413,GALAXY
18.11008,16.66324,15.95651,15.50041,15.258070000000002,GALAXY
19.50424,18.05349,17.36655,17.0092,16.76686,GALAXY
18.71151,17.29541,16.84991,16.54129,16.80637,GALAXY
19.20944,18.2525,17.65503,17.247220000000002,16.99833,GALAXY
19.56501,18.28741,17.658379999999998,17.24331,17.033520000000003,GALAXY
18.856579999999997,16.85813,15.88173,15.40823,15.01339,GALAXY
19.46248,17.494229999999998,16.263820000000003,15.69881,15.28011,GALAXY
19.21379,18.40521,18.242420000000003,18.13168,17.84311,QSO
19.230520000000002,18.12048,17.68284,17.39472,17.3009,GALAXY
19.33747,19.141270000000002,19.03585,18.85448,18.48047,QSO
19.419520000000002,17.62248,16.56883,16.06811,15.711089999999999,GALAXY
19.47499,17.75521,16.83364,16.389960000000002,16.07307,GALAXY
18.16817,16.803320000000003,16.18968,15.873870000000002,15.633779999999998,GALAXY
19.55326,18.27069,17.58401,17.151889999999998,16.90975,GALAXY
19.068270000000002,17.80951,17.39856,17.09119,17.00534,GALAXY
18.96823,17.15032,16.26687,15.84579,15.50852,GALAXY
19.58152,17.96501,17.00405,16.54601,16.20647,GALAXY
19.06975,17.86349,17.31553,16.89323,16.74505,GALAXY
18.24624,16.53214,15.628739999999999,15.166129999999999,14.81449,GALAXY
19.35022,18.886,18.70151,18.682660000000002,18.62389,QSO
18.93767,17.039379999999998,15.98915,15.44581,15.03827,GALAXY
18.42466,17.311139999999998,16.86756,16.49834,16.38268,GALAXY
19.25039,17.7472,16.92814,16.50326,16.189,GALAXY
18.94856,16.84368,15.929329999999998,15.47422,15.16574,GALAXY
18.86524,16.95443,16.07183,15.663720000000001,15.32779,GALAXY
19.08925,17.905179999999998,17.24444,16.84689,16.65044,GALAXY
17.98749,17.639860000000002,17.62483,17.51446,17.40864,QSO
18.60858,18.3943,17.97889,17.67771,17.41788,QSO
19.272489999999998,18.938,19.07538,18.97121,18.53289,QSO
19.58224,17.84509,16.91743,16.45711,16.0843,GALAXY
18.08888,17.8812,17.92886,17.91861,17.87477,QSO
19.394470000000002,18.15789,17.48086,17.11394,16.84401,GALAXY
19.58401,19.16389,19.25299,19.11003,19.07074,QSO
18.5148,16.71343,15.82549,15.38536,15.051260000000001,GALAXY
19.29062,18.25167,17.87047,17.60295,17.411579999999997,GALAXY
18.52403,17.932370000000002,17.67834,17.35799,17.25856,QSO
19.51098,18.26393,17.6392,17.31244,17.101229999999997,GALAXY
19.33437,17.43978,16.50767,16.080170000000003,15.726070000000002,GALAXY
18.92513,17.12865,16.28882,15.88916,15.55971,GALAXY
19.54199,17.9816,17.15263,16.69644,16.3836,GALAXY
19.07996,17.771829999999998,16.984460000000002,16.520570000000003,16.23232,GALAXY
